listing_id,Agent,sold_price,street_number,street_name,suburb,postcode,state,Municipality,Lister,property_type,bedrooms,NumberBathrooms,bathrooms,toilets,buildingsize,landsize,garages,carports,AirConditioning,AlarmSystem,TennisCourt,sold_date,year_built,longitude,latitude
108865901,GRMNAA,590000,71,Harold Keys Drive,Narre Warren South,3805,Vic,,Andrea O'Connor 0439 988 714,Residential,4,0,2,2.0,19.05212144,500.0,2.0,0.0,0,0,0,2018-11-01,,145.289728,-38.026351
109102846,DDBEUB,375000,6,Bromley Street,Wyndham Vale,3024,Vic,,Samantha McCarthy 0431 712 899,Residential,3,0,1,,1.39930835,259.0,0.0,1.0,0,0,0,2018-02-22,,144.624596,-37.887190999999994
110383117,GRMNAA,600000,7,Cottonwood Court,Narre Warren,3805,Vic,,Gavin Coyne 0417 309 650,Residential,4,0,2,2.0,14.96183548,775.0,2.0,0.0,0,0,0,2018-11-03,,145.317704,-38.036736
113313443,XRWBUE,700000,3,Bowen Court,Bundoora,3083,Vic,,Andrew Mizzi 0410 304 000,Residential,3,0,1,1.0,15.84447613,680.0,2.0,0.0,0,0,0,2018-09-10,,145.06553799999998,-37.69567
116703895,REXROM,1100000,22,Heddle Road,Lancefield,3435,Vic,Macedon Ranges,,Residential,5,0,2,3.0,3.98264685,4125.0,2.0,,0,0,0,2018-02-26,,144.723833,-37.255367
117378659,GHBDWE,480000,1,Barnes Way,Koo Wee Rup,3981,Vic,,,Residential,3,0,2,2.0,2.15278208,616.0,2.0,0.0,0,0,0,2018-02-22,,145.485935,-38.204549
119048447,GRMNAA,440000,5/1,Young Road,Hallam,3803,Vic,,,Residential,3,0,1,2.0,14.1545422,142.0,1.0,0.0,0,0,0,2018-09-04,,145.27458700000003,-38.003366
119152095,XRWBUE,1200000,111,Edmund Rice Parade,Bundoora,3083,Vic,,,Residential,4,0,3,4.0,36.99986567,705.0,2.0,0.0,0,0,0,2018-02-12,,145.07603500000002,-37.692684
119609603,ABCCRQ,360000,26,Wainewright Avenue,Mooroolbark,3138,Vic,,,Residential,3,0,2,0.0,1.72222567,402.0,0.0,1.0,0,0,0,2018-09-05,,145.32407800000001,-37.769073999999996
121139734,GHBDWE,495000,23,Carey Crescent,Pakenham,3810,Vic,,,Residential,3,0,2,2.0,18.83684323,576.0,2.0,0.0,0,0,0,2018-08-22,,145.499887,-38.056897
121656686,GRMNAA,380000,2/10,Azalea Court,Narre Warren,3805,Vic,,,Residential,2,0,1,1.0,9.8166863,273.0,1.0,0.0,0,0,0,2018-11-07,,145.31634499999998,-38.038729
121757698,GKZMJV,403000,5/4,Wyndcliffe,Roxburgh Park,3064,Vic,,,Residential,3,0,2,2.0,15.48926709,174.0,1.0,1.0,0,0,0,2018-01-24,,144.919835,-37.619571
