station_id,station_name,station_type,stop_mode,latitude,longitude
0,North Shore,,V/Line Train,-38.098373,144.365323
1,Pyramid,,V/Line Train,-36.053113,144.11313
2,Riddells Creek,,V/Line Train,-37.465127,144.679828
3,Rochester,,V/Line Train,-36.362363,144.69868300000005
4,Rosedale,,V/Line Train,-38.15640300000001,146.78696499999995
5,Sale,,V/Line Train,-38.103105,147.054802
6,Seymour,,V/Line Train,-37.024725,145.137733
7,Shepparton,,V/Line Train,-36.383795,145.4065
8,South Geelong,,V/Line Train,-38.15866,144.358987
9,Springhurst,,V/Line Train,-36.185894,146.470421
10,Stratford,,V/Line Train,-37.967047,147.081468
11,Swan Hill,,V/Line Train,-35.341113,143.562347
12,Tallarook,,V/Line Train,-37.092332,145.103002
13,Terang,,V/Line Train,-38.236215,142.911467
14,Trafalgar,,V/Line Train,-38.207239,146.15476999999996
15,Traralgon,,V/Line Train,-38.198889,146.53788400000005
16,Tynong,,V/Line Train,-38.084994,145.628231
17,Violet Town,,V/Line Train,-36.638817,145.715926
18,Wandong,,V/Line Train,-37.354676,145.026414
19,Wangaratta,,V/Line Train,-36.355102,146.317041
20,Warragul,,V/Line Train,-38.165227,145.93309
21,Warrnambool,,V/Line Train,-38.385015,142.475547
22,Winchelsea,,V/Line Train,-38.240133,143.984137
23,Wodonga,,V/Line Train,-36.105829,146.871267
24,Woodend,,V/Line Train,-37.358803,144.525893
25,Yarragon,,V/Line Train,-38.203155,146.063065
26,Southern Cross,Premium,Train,-37.817933,144.951409
27,Flinders Street,,V/Line Train,-37.818309,144.96696799999995
28,North Melbourne,,V/Line Train,-37.80630900000001,144.94151000000005
29,Footscray,,V/Line Train,-37.80141,144.902023
30,Sunshine,,V/Line Train,-37.788537,144.832881
31,Ginifer,,V/Line Train,-37.757995,144.810068
32,St Albans,,V/Line Train,-37.74486,144.80005
33,Watergardens,,V/Line Train,-37.701128,144.774186
34,Richmond,,V/Line Train,-37.8240699999999,144.99016
35,Caulfield,,V/Line Train,-37.87746,145.04252
36,Clayton,,V/Line Train,-37.924683,145.120531
37,Dandenong,,V/Line Train,-37.989968,145.209728
38,Berwick,,V/Line Train,-38.04041,145.34572
39,Pakenham,,V/Line Train,-38.08061,145.48637
40,Essendon,,V/Line Train,-37.75601,144.9162
41,Broadmeadows,,V/Line Train,-37.68305,144.91961
42,Sherwood Park,,V/Line Train,-38.38639000000001,142.54056
43,Roxburgh Park,Unmanned,Train,-37.638233,144.935407
44,Craigieburn,Premium,Train,-37.601813,144.943325
45,Wendouree,,V/Line Train,-37.540081,143.822055
46,Coolaroo,Unmanned,Train,-37.661001,144.926053
47,Creswick,,V/Line Train,-37.424605,143.888122
48,Clunes,,V/Line Train,-37.303143,143.781574
49,Maryborough,,V/Line Train,-37.050912,143.742399
50,Lynbrook,Unmanned,Train,-38.057345,145.24928
51,Cardinia Road,Unmanned,Train,-38.071288,145.437794
52,South Morang,Premium,Train,-37.649161,145.067038
53,Williams Landing,Premium,Train,-37.869868,144.747446
54,Talbot,,V/Line Train,-37.172902,143.705635
55,Waurn Ponds,,V/Line Train,-38.21581,144.30682
56,Epsom,,V/Line Train,-36.706343,144.32103600000005
57,Wyndham Vale,,V/Line Train,-37.871783,144.608477
58,Tarneit,,V/Line Train,-37.832169,144.694716
59,Sunbury,Premium,Train,-37.579092,144.72732
60,Diggers Rest,,Train,-37.627013,144.719918
61,Wallan,,V/Line Train,-37.41686,145.005377
62,Stony Point,Unmanned,Train,-38.374238,145.22184199999995
63,Crib Point,Unmanned,Train,-38.36612,145.204047
64,Morradoo,Unmanned,Train,-38.354035,145.189606
65,Bittern,Unmanned,Train,-38.33739,145.178026
66,Hastings,Unmanned,Train,-38.30566,145.185979
67,Tyabb,Unmanned,Train,-38.259817,145.18640200000004
68,Somerville,Unmanned,Train,-38.225341,145.176246
69,Baxter,Unmanned,Train,-38.194047,145.160525
70,Glen Iris,Unmanned,Train,-37.859306,145.058223
71,Leawarra,Unmanned,Train,-38.152036,145.13953500000005
72,Darling,Premium,Train,-37.868956,145.06294599999995
73,East Malvern,Premium,Train,-37.87693,145.069397
74,Holmesglen,Host,Train,-37.874401,145.090657
75,Jordanville,Unmanned,Train,-37.873599,145.112089
76,Flagstaff,Premium,Train,-37.811978,144.955653
77,Melbourne Central,Premium,Train,-37.809936,144.962599
78,Parliament,Premium,Train,-37.811055,144.97290700000005
79,Belgrave,Premium,Train,-37.909099,145.355291
80,Tecoma,Unmanned,Train,-37.908116,145.342999
81,Upwey,Unmanned,Train,-37.903692,145.331335
82,Alamein,Unmanned,Train,-37.868317,145.07965900000005
83,Ashburton,Premium,Train,-37.861968,145.08134099999995
84,Burwood,Host,Train,-37.851561,145.080508
85,Hartwell,Unmanned,Train,-37.843984000000006,145.07556100000005
86,Willison,Unmanned,Train,-37.835712,145.070298
87,Riversdale,Unmanned,Train,-37.831502,145.069648
88,Camberwell,Premium,Train,-37.82656400000001,145.05869199999995
89,Flinders Street,Premium,Train,-37.818308,144.96696699999995
90,Frankston,Premium,Train,-38.142987,145.12616599999996
91,Kananook,Unmanned,Train,-38.12174,145.135291
92,Seaford,Unmanned,Train,-38.104017,145.128228
93,Carrum,Premium,Train,-38.074896,145.122414
